FIPS,Class,Geographic Name,Geographic Subtype,Total Vote,Democratic,Republican,Independent,Libertarian,Constitution,Green,CA Democratic,Write-ins,State1,State2,State3,State4,State5,State6,State7,State8,State9,State10,State11,State12
fips,class,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20
1,3,Alabama,State,2079415,744848,1331317,0,0,0,0,0,3250,0,0,0,0,0,0,0,0,0,0,0,0
2,3,Alaska,State,252189,28026,111382,34579,74245,0,0,0,545,2027,1385,0,0,0,0,0,0,0,0,0,0
4,3,Arizona,State,2239856,918638,1198594,0,0,0,122624,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,Arkansas,State,1095490,398723,652151,0,43565,0,0,0,1051,0,0,0,0,0,0,0,0,0,0,0,0
6,3,California,State,8302974,5207202,0,0,0,0,0,3095772,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,Colorado,State,2634322,1308331,1178739,7886,93648,0,34011,0,0,8782,2925,0,0,0,0,0,0,0,0,0,0
9,3,Connecticut,State,1558196,987825,536420,0,17653,0,16258,0,0,29,11,0,0,0,0,0,0,0,0,0,0
12,3,Florida,State,9297072,4119235,4833429,45787,196794,0,0,0,0,52430,26894,22223,43,64,47,70,56,0,0,0,0
13,3,Georgia,State,3885378,1592507,2131372,0,161499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3,Hawaii,State,416460,306543,92621,0,6806,9097,0,0,0,1393,0,0,0,0,0,0,0,0,0,0,0
16,3,Idaho,State,680939,188819,450315,0,0,41805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3,Illinois,State,5347012,2908363,2150099,0,172068,0,113965,0,2517,0,0,0,0,0,0,0,0,0,0,0,0
18,3,Indiana,State,2730629,1157645,1422962,0,149362,0,0,0,0,660,0,0,0,0,0,0,0,0,0,0,0
19,3,Iowa,State,1532383,546522,920744,0,41494,0,0,0,1671,17544,4408,0,0,0,0,0,0,0,0,0,0
20,3,Kansas,State,1148761,368672,716661,0,63428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,3,Kentucky,State,1903373,813222,1090151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3,Louisiana,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,Maryland,State,2511330,1511150,917055,0,0,0,80535,0,2590,0,0,0,0,0,0,0,0,0,0,0,0
29,3,Missouri,State,2777027,1283222,1370240,0,67067,25194,30413,0,0,871,14,2,1,1,2,0,0,0,0,0,0
32,3,Nevada,State,1106020,520658,494427,10719,0,17104,0,0,0,0,6864,14163,42085,0,0,0,0,0,0,0,0
33,3,New Hampshire,State,739005,354612,353634,17707,12532,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,0
36,3,New York,State,6812037,4795288,1867035,0,43944,0,102479,0,3291,0,0,0,0,0,0,0,0,0,0,0,0
37,3,North Carolina,State,4640054,2103383,2371500,0,165171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3,North Dakota,State,341486,57976,267964,4661,10521,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0
39,3,Ohio,State,5227520,1929873,3048467,89977,0,0,84521,0,0,74682,0,0,0,0,0,0,0,0,0,0,0
40,3,Oklahoma,State,1448047,355911,980892,40405,43421,0,0,0,0,27418,0,0,0,0,0,0,0,0,0,0,0
41,3,Oregon,State,1886914,1069254,630842,56871,22698,0,46202,0,2016,59031,0,0,0,0,0,0,0,0,0,0,0
42,3,Pennsylvania,State,5904144,2790488,2886455,0,227201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,South Carolina,State,2048812,756491,1241078,0,37466,0,0,0,1856,11921,0,0,0,0,0,0,0,0,0,0,0
46,3,South Dakota,State,369619,104125,265494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,3,Utah,State,891495,242922,607707,20286,0,0,0,0,0,20580,0,0,0,0,0,0,0,0,0,0,0
50,3,Vermont,State,313533,192239,103635,5223,0,0,0,0,39,9156,3241,0,0,0,0,0,0,0,0,0,0
53,3,Washington,State,2728965,1627497,1101468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,3,Wisconsin,State,2947049,1380496,1479262,0,87291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
